text,sentiment
gee like almost care people think int trust adult w daughter,0
chance change include northeast airports ? jetblue,0
confused_face rt fleet fleek,0
seat phone iwas tell get error message due pay 1st class upgrd tell check,-1
guy fly froward bahamas,0
! !,0
face_with_tears_of_joy face_with_tears_of_joy rt fleet fleek,0
oops sorry do,0
sign screen major mobile issue responsive design not work properly nexus 5,-1
last 5 flight consistently run behind schedule ? ?,-1
alist pref not good direct atl always wifiless flight 1701,-1
know reason flight dallas midland divert lubbock ? suppose direct midland,0
bruh fleet fleek,0
no worry best already cancel flight biz trip still love ! rr 1079871763,1
5 hours delay hour increments ? really ? amp mosaic still pay 25 use lounge waste sunday ?,-1
2324 orlando dca ! awesome flight attendant robert !,1
folded_hands hotel thank !,1
stick plane hour due mechanical fault update please ? happen way newark lhr,-1
send dm detail thank !,1
honesty always policy,0
referral program milageplus explorer card ?,0
send,0
send dm thank acknowledgment,1
waive fee time cancel flightation waive future date !,-1
thank grand view today ! flt 3825 seatac phx,1
forget select ksml flight la minutes 24 hour mark way change ?,0
request board pass texted still not receive,-1
felt bite like add insult injury since terminal 5 seven hours next flight,-1
would like thank recognize terri p dull go way get back raleigh flight,1
get add thank ! Happy_face_or_smiley,1
tell secrets fly high,0
crazy long form ! need something video ?,-1
iphone app passbook support ! whoot ! little things life winking_face_with_tongue,1
thank excellent customer service resolve issue quickly,1
tight world best airlines list amp rank higher ! come !,0
rt fleet fleek,0
appreciate get gate issue figure grr plenty open gate yet sit wait tarmac,-1
wait figure unacceptable,-1
bag not show love not make phl,-1
not need apologies need bag take 56 minutes land get unacceptable,-1
terminal mia food open 5am esp flight 6am two hours early like recommend can not eat,-1
companion pass years wife use time thank make travel easy !,1
sorry wrong link bag,0
respect stress merger one rep reschedule replane 15 people already late flight ?,-1
family excite see smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes,1
6 hours no agent keep wait ?,-1
switch american airlines flight not choice charge 50 bag ? think merge ?,-1
already book ticket august 20th 30th ! can not wait vacation !,1
think ! thank clarification !,0
hold 39 minutes count month old change fee refund request funeral pathetic,-1
course ! Happy_face_smiley,1
38 minutes phone give another number call still hold,-1
great flight yesterday msy aus ! ! thank great safety service beautiful sky ! !,1
way name samantha everyone flight,1
great thank,1
please tell dfw weather advisory rdu not ? entire state nc shut ice amp snow !,0
call last night 10hrs get call back get one day pass admirals club ? go spend 7hrs dfw,-1
say call center understaffed ?,-1
maybe not play video flight outfit w wifi flight wifi not work airplane,-1
team member dca tamara r name awesome employees like !,1
get 757 model ?,0
2nd leg trip cancel flightled hold 1 5 hrs lose not speak someone first flight leave ?,-1
look cool,1
buy tix 3 days flight can not transfer tix flaw security logic flaw customer service,-1
4am arrive find already cancel flight no options miss meet might know not show,-1
excellent reliable Happy_face_or_smiley,1
club denver dope OK_hand,1
thank get home despite odds reunite delinquent southwest luggage homeward,1
havana cuba share love photography leave picture behind well deliver much need items,0
help ? leave blazer kooples jacket bag 3rd row second seat right gate 36 t3 lax flight sfo,0
thank not even come solution great service might say trueblue member totally dissatisfy thank,-1
airways cover bank america jblu dakota financial news,0
dm send request make sure follow back dm back thank,0
follow back dm,0
end rt reminder 2 28 tweet join us,0
nice see expand texas not forget us would love see flight !,0
yeah not happen really piss kind thing expect us austrian not,-1
thank answer question !,1
ua6357 need de ice ! stat ! wait turn,0
system run ?,0
depart flight boston heavily delay ? fly tomorrow morning,0
talk reservation must congratulation friendly good usair airline fly,1
weather seriously can not even excuse point awful service summer,-1
thank follow finally work ! ! finger cross new flight work,1
aw okay thank,1
thank get us nyc jfk really safely Happy_face_smiley srsly ? long take get check bag ?,1
two row,0
land,0
inflight wifi absolute worst would will pay double dialup speed,-1
flight 713 love field sfo definitely cancel flightled monday february 23 ?,0
put great deal pdx las las pdx show love !,1
good perspective safety concern express point arrive airport,-1
flight fll tell take train back pbi get car no train pbi !,-1
credit last trip never come mail !,-1
gate agent ewr disable wheel chair time board please step step ? ? ? lol,-1
would like see markie,0
bruh real tweet fleet fleek,0
give tix show would appreciate one two la grinning_face_with_smiling_eyes fly phl lax friday,0
try call customer service line keep que 45 mins please hold not care,-1
no one helpful never fly airline,-1
f5r3zz,0
can not dm not follow,0
wait airport two days get home not weather relate flightd deal horrible customer service finally switch,-1
speed flight az omaha ? need see muh boy airplane,0
err 2 hour wait time exec plat line ?,-1
good news get fix,1
sch 530 tmw aa would love find earlier one possible fll,0
no exceptions national award ?,0
announce non stop flight dallas columbus well next time best less time airport hopin face_with_tears_of_joy face_with_tears_of_joy,0
flt 7a tom rec notification go airport,-1
company actualy put people weird,-1
get stop send email ex boyfriends account ? not care many point !,-1
change flight st louis thank reply though !,1
phone number ? customer service question,0
ua1429 iad las 2 19 mechanical problems switch aircraft delay 3 5 hours !,-1
awww _ r realtime appreciation jetblue,1
stand baggage claim wait bag hour dfw gate 100 feet !,-1
even airlines scheme get follow obj lmaooo face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,0
direct miami w seat rebooked niece tuesday can not get phone ?,-1
buy early bird pointless move different flight b c first one delay lose board position,-1
wait line hour san antonio barely move amp two agents 30 front amp least 40 behind,-1
line may extra long security slow seem employees quick blame customers not arrive 3 4 hours ahead,-1
boston gate c12,0
great management twitter account thank,1
line mile long sky harbor morning staff courteous expeditious thank,1
tyvm usair happy night lt 3,1
thank take care today ! michele rock customer service ! gate 25 hou,1
hahaha face_with_tears_of_joy guy amaze love guy ! ! ! growing_heart,1
drop track,0
trivia contest win flight 1 question rt follow amp send answer enter,0
reference 261093929756,0
better find way get puerto rico tomorrow morning besides charge us three time cash originally pay,-1
tux would date !,1
another airport closer calgary fly tomorrow,0
thank,1
patient luxurious middle seat next delay flight,-1
fly may 3rd ? plz advise,0
please hold flight us 639 phoenix ! weary traveler stick another flight tarmac issue !,-1
respond complaints cultural appropriation ! ? spirit airlines fly list,-1
course need help dming ladies gents day solution hope best lax,-1
4 tomorrow miss meet today amp pointless 2 pay hotel today purpose trip screw,-1
ask legitimate question systemwide vs localize problems get back unrelate flightd copy paste better,-1
no not yet call baggage status 5 time yesterday,-1
seattle bind wifey get duffle vday keeper ! ! ! holla ! ! !,0
leave bag houston last night freeze cold memphis idea see ? tomorrow,-1
hold customer service hour help ? !,-1
enrol atl companion pass offer book 3 flight already may 17 start use pass ?,0
help update birthday incorrectly input reservation ? prevent check,0
